Word,Definition
address,"the words and numbers that are used to describe the location of a building and that are written on letters, envelopes, and packages so that they can be mailed to that location "
town,"a place people live, larger than a village, smaller than a city"
win,to achieve victory in a fight or game
foot,the part of the leg below ankle
raise,to lift or move something to a higher position
discuss, to talk about (something) with another person or group 
committee,a group of people who are chosen to make decisions about something
pull,to hold onto and move (someone or something) in a particular direction and especially toward yourself
box,"a container that is made of a hard material (such as wood, metal, or cardboard) and that usually has four straight sides"
dear,loved or valued very much
consider,to think about carefully
rest,"not at work, to have time to relax, sleep or do nothing"
increase,"to become larger or greater in size, amount, or degree"
nobody,"no person, no one"
computer,an electronic machine that can store and process large amounts of information
budget,a plan of how you will spend your money; the amount of money you have for something
fun,someone or something that is amusing or enjoyable
depend,"to need (someone or something) for support, help, etc. "
particularly,especially
study,devoting time to learn about something
tonight,this night or the night following this day 
everyone,every person;  everybody
afternoon,the middle part of the day : the part of the day between noon and evening 
notice,"to become aware of (something or someone) by seeing, hearing, etc. "
baby,a very young child
chance,an opportunity to do something;  an amount of time or a situation in which something can be done
standard,a level of quality or achievement that is considered acceptable
especially,"more than usually;  very, extremely"
middle,equally distant from the ends or sides : halfway between two points 
press,"newspapers, magazines, and TV news reports"
till,until
million,the number 1000000
seventy,the number 70
city,many people living in a place larger than a town
realize,to understand or become aware of something
score,the number of points someone gets in a game or test
weekend, Saturday and Sunday
black,having the very dark color of coal or the night sky
lead,"to guide someone to a place , to go with, be in charge"
result,a thing that is caused by something else that happened
fit,proper or acceptable : morally or socially correct
staff,a group of people who work for an organization or business
control,to direct or influence the behavior of something or someone
definitely,without any doubt
conversation,an informal talk involving two people or a small group of people
further,at a more distant place than here
straight,"not having curves, bends, or angles "
free,without control by others
shall,"expressing the future tense, to expect to happen"
develop,to cause to grow or bigger or more advanced
college,an school or educational institution for adults
opportunity,an amount of time or a situation in which something can be done
near,close to something
ought,used to indicate what is expected
per,"for each one, by means of, as directed by or stated in"
bear,to accept or endure difficulties
offer,to give someone the opportunity to accept something
date,a particular day of a month or year 
grade,a level of study that is completed by a student
toward,in the direction of
war,"a period of fighting or conflict between countries, "
throw,to cause (something) to move out of your hand and through the air by quickly moving your arm forward
major,"important, serious,  or large in number"
charge,to ask for money as a price for a service or goods
rate,the measure of speed or frequency over a particular period of time
individual,existing as just one member
music,the art of making sounds that are sung or played
doctor,"a person who skilled to treat people who are ill, sick and injured"
husband,a married man : the man someone is married to
force,"to use physical strength, power, or energy used on something"
load,something that is lifted and carried 
effect,a change or results of something being done
wish,to want something to be true or to happen
team,"a group of people who compete in a sport, game"
eleven,the number 11
worth,used to indicate the value of something
brief,"lasting , having only a short period of time"
law,the system or rules made by the government
unless,"used to say what will happen, be done, or be true if something else does not happen, is not done, or is not true"
future,the period of time coming after the present
behind,in or toward the back
white,"having the color of snow, to be light or pale in color"
site,"the place where something is, was, or will be located"
special,"different from what is usual, better or greater than normal"
main, most important
trouble,problems or difficulties
project,a planned piece of work for specific purpose
father,a male parent
quality,how good or bad something is 
themselves,the reflexive form of the pronoun 'they'
sleep,to rest your mind and body by closing your eyes and becoming unconscious 
share,to have or use something with others
available,when something is there to be used easily
hit,"to move your hand, a bat, etc., quickly so that it touches someone or something in a forceful or violent way"
fair,agreeing with what is thought to be right or acceptable
news, new information or a report about something that has happened recently
strong,having physical power or strength
bottom,"the lowest part, point, or level of something"
note,"a brief, short record of something"
step,moving by lifting  a foot and putting it down in a different place
subject,the thing being discussed or described
clean,"free from dirt, marks, etc. : not dirty "
wife,a married woman
machine,"a piece of equipment with moving parts that does work when it is given power from electricity, gasoline, etc. "
cool,somewhat cold : not warm or hot
drop,to let something fall
land,the solid part of the surface of the Earth
period,a length or portion of time during a series of events
bother,to make someone feel worried or upset
development,when someone or something grows or changes and becomes more advanced
detail,a small part of something
power,"the ability, capacity or right to control things"
marry,to become the husband or wife of (someone)
tax,money that a government requires people to pay
benefit,"a good result or effect, something helpful"
imagine,to think of or create something in one's mind that is not real
cold,having a very low temperature
vote,to make an official choice for or against someone or something
hang,to attach or place something so that it is held up without support from below
education,the process of giving or receiving instruction
anyone,any person
national,relating to the whole of a country
fire,"the light, heat and the flame produced by burning something"
council,"a group of people who are chosen to make rules, laws, or decisions about something "
instead,used to say that one thing is done or is chosen when another is not chosen
bill,a document that says how much money you owe for something you have bought or used 
catch,to use your hands to stop and hold
tend,used to describe what often happens or what someone often does or is likely to do
account,a story or report about something
statement,something that someone says or writes officially
board,"a long, thin, flat piece of wood "
summer,the warmest season of the year that is after spring and before autumn
text,the original words in main writing or speech
brother, a boy or man who has one or both of the same parents as you 
fairly,"more than average, but less than very; something done in a fair way"
holiday,a special day of celebration
dinner,the main meal of the day
fund,a sum of money that is used for a special purpose
sister,a girl or woman who has one or both of the same parents as you
noise,a loud or unpleasant sound 
push, to use force to move (someone or something) forward or away from you
accept,to receive or take something that is offered
police,"the people or the department of people who enforce laws, investigate crimes, and make arrests"
kill,"to cause the death of a person, animal or plant"
travel,to go on a trip or journey : to go to a place and especially one that is far away 
explain,to make clear or easy to understand by describing
movie,a film or video
hair,a thin threadlike growth from the skin of a person or animal
specific,"special or particular, clearly presented or stated"
tea,a drink that is made by soaking the dried leaves of an Asian plant in hot water 
hate,a very strong feeling of dislike
center,the middle point or part
degree,a unit for measuring temperature or the size of an angle
choose,to decide that a particular person or thing is the one that you want
research,careful study to find and report new knowledge
body,a person's physical self
rule,something that is not allowed in some situations
produce,to use machines to make something from raw materials
size,the total amount of physical space that a person or thing occupies
ahead,in or toward the front 
fill,to make something full or to spread through
extra,more than is usual or necessary : additional 
value,the amount of money something is worth
bag,"a container made of thin material (such as paper, plastic, or cloth) that opens at the top and is used for holding or carrying things "
stage,a particular point in a process
eye,the part of the body that you see with
window,an opening in a wall or door that usually contains a sheet of glass
park,a piece of public land in or near a city that can be used for pleasure and exercise
hot,having a high temperature 
document,an official record that gives information
relate,to show or make a connection between (two or more things) 
several,more than two but not many
itself,the reflexive form of the pronoun 'it'
evening,the last part of the day and early part of the night 
product,something that is made or grown to be sold or used
wonderful,very good
relationship,a connection between two or more people or things
floor,the part of a room on which you stand
hospital,a place where sick or injured people are given care or treatment and where children are often born 
plus,having a value that is above zero
quick,done or happening in a short amount of time
lady,a woman who behaves in a polite way
mile,a unit of measurement used in the US that is about 1600 meters
aware,knowing or feeling that something exists
contact,the state or condition where two things are touching
single,"not having or including another, only one"
copy,something that is or looks exactly or almost exactly like something else
effort,work done by the mind or body
trade,"the activity of buying, selling, or exchanging"
review,an act of carefully looking at or examining the quality or condition of something or someone
sale,the act of selling something or exchanging for money
totally,completely
therefore,for that reason or because of that
air,the invisible mixture of gases that we breathe
church,a building used for Christian religious worship or services
visit,to go somewhere to spend time with
awful,"very bad, of low quality, or unpleasant"
action,something that a person does
completely,in every way or as much as possible
affect,to make an effect on someone or something
cheap,not costing a lot of money 
street,a public road in a city or town
receive,to get or be presented with something
require,"to need something, to make it necessary"
red,having the color of blood
focus,the main purpose or center of interest or activity
surprise,"an unexpected event, piece of information, etc."
apply,to ask formally for something such as a job
correct,true or accurate;  agreeing with facts
various,used to refer to several different or many different things
bet,"to risk money on the result of a game, competition, etc."
purpose,the reason for which something is done
normally,usually
create,"to make, cause, or bring into existence"
bus,a large vehicle that is used for carrying passengers especially along a particular route at particular times
