Word,Definition
breath,the air that you take into your lungs and send out from your lungs when you breathe
brief,"lasting , having only a short period of time"
bring,"to take or go with to a place,"
brother, a boy or man who has one or both of the same parents as you 
budget,a plan of how you will spend your money; the amount of money you have for something
build,to construct by putting parts or materials together
bus,a large vehicle that is used for carrying passengers especially along a particular route at particular times
business,"the activity of making, buying, selling or providing goods"
but,used to contrast a statement with a to previous one
buy,to get something by paying money for it;  purchase
by,"close to or next to, up to and beyond, beside a place"
call,"to speak, announce or shout in a loud voice"
can,to be able to do something
car,a vehicle with four wheels and engine that can carry things
card,"a small piece of stiff paper that is marked with symbols or pictures to show its value, comes in a set, and is used for playing games"
care,effort made to do something correctly or well
carry,to move something from one place to another
case,an example or instance of something
catch,to use your hands to stop and hold
cause,something that produces an effect
center,the middle point or part
certain,not having any doubt about something
certainly,used to emphasize something and show that there is no doubt about it; used to agree to a request
chance,an opportunity to do something;  an amount of time or a situation in which something can be done
change,to make or become different
charge,to ask for money as a price for a service or goods
cheap,not costing a lot of money 
check,"to look at (something) carefully to find mistakes, problems, etc."
child,a young person
choice, the act of choosing : the act of picking or deciding between two or more possibilities 
choose,to decide that a particular person or thing is the one that you want
church,a building used for Christian religious worship or services
city,many people living in a place larger than a town
class,a group of students who often meet and are taught together
clean,"free from dirt, marks, etc. : not dirty "
clear,very obvious or easy to perceive
clock,a device that shows what time it is and that is usually placed in a room or attached to a wall 
close,to move so that things cannot path through
cold,having a very low temperature
college,an school or educational institution for adults
color,"a quality such as red, blue, green, etc."
come,"to move toward someone, to approach"
comment,to discuss or write an opinion on something
committee,a group of people who are chosen to make decisions about something
community,a group of people who share a common idea or area
company,a business that sells thing or provides services
completely,in every way or as much as possible
computer,an electronic machine that can store and process large amounts of information
concern,a feeling of worry or anxiety
consider,to think about carefully
contact,the state or condition where two things are touching
continue,to do something without stopping
control,to direct or influence the behavior of something or someone
conversation,an informal talk involving two people or a small group of people
cool,somewhat cold : not warm or hot
copy,something that is or looks exactly or almost exactly like something else
correct,true or accurate;  agreeing with facts
cost,the price of something
cough,"to force air through your throat with a short, loud noise often because you are sick"
could,"used as the past tense of can, to indicate possibility"
council,"a group of people who are chosen to make rules, laws, or decisions about something "
country,"an area, nation that is controlled by government"
couple,two people or things being together
course,the route or direction that something moves along
cover,put something over or on top of something else
create,"to make, cause, or bring into existence"
cut,to use a sharp tool or object to open or divide something
dad,father
date,a particular day of a month or year 
day,each of the 24 hours beginning at midnight
deal,to trade or do business with someone
dear, loved or valued very much 
decide,to make a choice about something or choose after thinking
decision,a choice that you make about something after thinking about it
definitely,without any doubt
degree,a unit for measuring temperature or the size of an angle
depend,"to need (someone or something) for support, help, etc. "
detail,a small part of something
develop,to cause to grow or bigger or more advanced
development,when someone or something grows or changes and becomes more advanced
die,to stop living or end life
difference,a quality that is unlike something else
different,"not of the same kind, unlike in nature"
difficult,not easy : requiring much work or skill to do or make 
dinner,the main meal of the day
discuss, to talk about (something) with another person or group 
discussion,the act of talking about something with another person or a group of people : a conversation about something
do,to perform an action or activity; to work on something
doctor,"a person who skilled to treat people who are ill, sick and injured"
document,an official record that gives information
dog,"a type of animal that is often kept as a pet or trained to work for people by guarding buildings, hunting, etc. "
dollar,"a basic unit of money in the U.S., Canada, Australia, and other countries that is equal to 100 cents"
door,a movable entrance to a building or room
down,going from a higher position to a lower position
draw,to produce by making lines on a paper
drink,to take a liquid into your mouth and swallow it
drive,to control the movement of a car
drop,to let something fall
during,throughout the entire time
each,every one of two more things
early,"at or near the beginning of time, done before the expected time"
easy,"not hard to do, not difficult"
eat,to take food into your mouth and swallow it
education,the process of giving or receiving instruction
effect,a change or results of something being done
effort,work done by the mind or body
eight,the number 8
eighty,the number 80
either,one or the other of two
eleven,the number 11
else,in a different or additional manner or place
end,a point that marks the limit of something
enjoy,to take pleasure in (something) 
enough,"equal to what is needed, as much as required"
especially,"more than usually;  very, extremely"
even,"being flat, equal or smooth "
evening,the last part of the day and early part of the night 
ever,"at any time, at all times"
every,including each person or thing in a group
everybody,every person;  everyone
everyone,every person;  everybody
everything,every thing there is or all that exists
exactly,completely correct
example,a thing which is seen as a model
expect,to be regarded as likely to happen
experience,the act of having things happen to you
explain,to make clear or easy to understand by describing
extra,more than is usual or necessary : additional 
eye,the part of the body that you see with
face,"the front part of a person's head, the surface of a thing"
fact,something that is known or proved to be true
fair,agreeing with what is thought to be right or acceptable
fairly,"more than average, but less than very; something done in a fair way"
fall,to come or go down from a higher to a lower place
family,a group of people who are related to each other
far,to a great distance in space or time
father,a male parent
feel,to be aware of or experience an emotion or sensation
few,"not many, a small number"
fifteen,the number 15
fifty,the number 50
figure,a an amount that is expressed in numbers
fill,to make something full or to spread through
find,to discover something
fine,"good, acceptable, or satisfactory"
finish, to reach the end of (something) : to stop doing (something) because it is completed
fire,"the light, heat and the flame produced by burning something"
first,coming before all others in time or place
fit,proper or acceptable : morally or socially correct
five,the number 5
floor,the part of a room on which you stand
focus,the main purpose or center of interest or activity
follow,"to come after, to move or travel behind"
food,the things that people and animals eat
foot,the part of the leg below ankle
for,indicating the purpose or need of something
force,"to use physical strength, power, or energy used on something"
forget,to be unable to think of or remember (something)
form,"a type or kind of something, the visible shape, style"
forty,the number 40
forward,toward the front : to or toward what is ahead or in front 
four,the number 4
free,without control by others
friend,a person who you like and enjoy being with
from,indicating the starting point of motion or action 
front,the forward part of an object
full,containing or holding as much as possible
fun,someone or something that is amusing or enjoyable
fund,a sum of money that is used for a special purpose
funny,causing laughter 
further,at a more distant place than here
future,the period of time coming after the present
game,one of the games that are part of a larger contest
general,"widespread, normal or usual"
get,"to obtain, receive or be given something"
girl,"a female child,  a young woman"
give,to hand over or present something to another
go,to move or travel from one place to another
good,of high quality
government,the group of people who officially control a country
grade,a level of study that is completed by a student
great,"very large in size, extent or amount"
group,a number of people or things located or gathered together
grow,to become larger
guess, to form an opinion or give an answer about something when you do not know much or anything about it 
guy,a man
hair,a thin threadlike growth from the skin of a person or animal
half,one of two equal parts something can be divided into
hand,the body parts at the end of a person's arm
hang,to attach or place something so that it is held up without support from below
happen,to take place or occur
happy,feeling pleasure and enjoyment because of your life
hard,something that is firm or difficult to bend
hate,a very strong feeling of dislike
have,"to own, possess, or hold something"
he,used to refer to a male person that is the subject
head,the upper part of the body
health,the condition of being well or free from disease
hear,"to be aware of sound, to perceive with the ear"
help,to assist in order to make it easier for someone to do a job
here,"in this place, at this location or position"
high,rising upward a great distance
hit,"to move your hand, a bat, etc., quickly so that it touches someone or something in a forceful or violent way"
hold,to have or keep in your hand
holiday,a special day of celebration 
home,the place where a person or a family lives
hope,"a feeling of expectation, to want something to happen"
hospital,a place where sick or injured people are given care or treatment and where children are often born 
hot,having a high temperature 
hour,a period of time equal to 60 minutes
house,a building in which a family lives
how,by what means or manner?
hundred,the number 100
husband,a married man : the man someone is married to
I,the person who is speaking or writing
idea,"a thought, suggestion, opinion or plan"
if,introducing a condition for something to happen
imagine,to think of or create something in one's mind that is not real 
important,having great significance
in,used to indicate being inside of or surrounded by something else
include,to have as a part of a group
increase,"to become larger or greater in size, amount, or degree"
individual,existing as just one member
information,"facts or data about a situation, person, event, etc."
instead,used to say that one thing is done or is chosen when another is not chosen
interest,a feeling of wanting to know or learn about something
into,introduce movement toward the inside of something
involve,to have or include in a part of something
issue,problems that people are talking or thinking about
it,a thing that has been previously mentioned
item,"an individual article, unit or piece of information"
itself,the reflexive form of the pronoun 'it'
job,the regular work of earning money
just,"exactly, to an exact degree or manner"
keep,to continue holding or retaining possession of
kid,a child or young person
kill,"to cause the death of a person, animal or plant"
kind,"having a friendly, gentle nature"
know,"to have in your mind, be aware of something"
lady,a woman who behaves in a polite way
land,the solid part of the surface of the Earth
language,the system of words or signs that people use to express thoughts and feelings to each other 
large,"great in size, extent, or capacity"
last,"coming after others, final"
late,happening near the end of a given time
laugh,to show that you are happy or that you think something is funny by smiling and making a sound from your throat
laughter,the action or sound of laughing 
law,the system or rules made by the government
lead,"to guide someone to a place , to go with, be in charge"
learn,to acquire knowledge by study or experience
least,"smallest in amount, extent or degree"
leave,"to go away from, depart from"
less,"not so much, a smaller amount of"
let,to allow or permit to do something
letter,"a written, typed or printed message"
level,a specific height or line
life,the existence of a human being or animal
light,the form of energy that makes things visible
like,to find something agreeable or enjoyable
line,a long narrow mark or band on a surface 
list,"a series of written names, words or numbers "
listen,"to pay attention to someone or something in order to hear what is being said, sung, played, etc. "
little,"small in size, amount, or degree"
live,"to be alive, to remain or continue to be alive"
load,something that is lifted and carried 
local,"relating or restricted to a particular area, city, or town"
long,extending a great distance 
look,to direct one's gaze in a particular direction
lose,to be unable to find something you once had
lot,a small piece of land that is or could be used for building something or for some other purpose 
love,feel great affection for
lovely,attractive or beautiful especially in a graceful way 
low,not rising or extending upward
machine,"a piece of equipment with moving parts that does work when it is given power from electricity, gasoline, etc. "
main, most important
major,"important, serious,  or large in number"
make,"to build, create, or produce something"
man,an adult male human being
many,used to refer a large number of things
market,a place that products are bought and sold
marry,to become the husband or wife of (someone)
mathematics,the study or science of numbers and shapes
matter,the physical substance things are made of
may,used to express possibility or probability
maybe,possibly but not certainly : perhaps
mean,to have in mind as your purpose or intention
meet,to be introduced for the first time
member,a person or country belonging to a group or team
mention,"to talk about, write about, or refer to (something or someone) especially in a brief way "
middle,equally distant from the ends or sides : halfway between two points 
might,to say something is possible
mile,a unit of measurement used in the US that is about 1600 meters
million,the number 1000000
mind,"the part of person that enables us to think, feel, and reason"
mine,that which belongs to me : my one : my ones 
minute,a period of time equal to 60 seconds
miss,"to fail to hit, catch, reach, or get (something)"
moment,a very short or brief period of time
money,something used to pay for goods and services
month,one of the 12 periods of time a year is broken into  
more,"greater in amount, number, or size"
morning,the early part of the day
most,almost all of something
mother,a female who has a child or children
move,to cause to go in a specified direction or manner
movie,a film or video
much,large in amount or extent
music,the art of making sounds that are sung or played
must,used to say that something is required or necessary
myself,the reflexive form of the pronouns 'me' or 'I'
name,a word that addressed or refers to a specific person
national,relating to the whole of a country
near,close to something
need,require because it is essential or important
never,"not ever, not at any time"
new,"not old, recently born, built or created"
news, new information or a report about something that has happened recently
next,coming immediately after this time
nice,giving pleasure or joy : good and enjoyable 
night,the period of time of darkness between sunset and sunrise
nine,the number 9
nineteen,the number 19
ninety,the number 90
no,"not at all, in a way that shows a negative response"
nobody,"no person, no one"
noise,a loud or unpleasant sound 
normally,usually
not,used to make an expression negative
note,"a brief, short record of something"
nothing,"not anything, no a single thing"
notice,"to become aware of (something or someone) by seeing, hearing, etc. "
now,at the present time or moment
number,a word or symbol that stands for a specific amount or quantity
obviously,in a way that is easy to understand or see
of,belonging to or connected with something
off,away from a place or at a distance
offer,to give someone the opportunity to accept something
office,a building of set of rooms used to do business or professional activities
often,"many times, frequently, on many occasions"
okay,used when agreeing to do something or when allowing someone to do something
old,"having lived for many years, no longer young"
on,touching and being supported or physically in contact by something
once,one time only
one,"the number 1, a single person or thing"
only,alone in a class or category
open,not closed
opportunity,an amount of time or a situation in which something can be done
or,"used to link alternatives, to introduce another choice"
order,an instruction or direction that must be obeyed
other,used to mention a person or thing is different from already mentioned
ought,used to indicate what is expected
out,in a direction or movement away from the inside or center
outside,an area around or near something such as a building
over,in an upward direction across something
own,when something belongs to someone
page,"one side of a sheet of paper especially in a book, magazine, etc. "
paper,the material that is used in the form of thin sheets for writing
parent,a person who is a father or mother
park,a piece of public land in or near a city that can be used for pleasure and exercise
part,one of the pieces of a whole
particular,used to single out an individual member
particularly,especially
party,an organization of people who have the same political beliefs 
pass,to move past something
past,a time before the present
pause,a temporary stop : a period of time in which something is stopped before it is started again 
pay,give money for goods or work done
people,"human beings in general, plural of person"
per,"for each one, by means of, as directed by or stated in"
percent,a certain part of a whole 
perhaps,"possibly but not certainly, maybe"
period,a length or portion of time during a series of events
person,a human being
phone,a communication system that is used to talk to someone who is in another place
pick,to choose or select (someone or something) from a group 
picture,"a painting, drawing or photograph on paper or screen "
piece,a part that is cut or separated from a whole
place,a particular area or region
plan,"a set of actions as a way to do, detailed proposal for doing"
play,to do activities for fun or enjoyment
please,used to ask for something in a polite way
plus,having a value that is above zero
point,an idea that you try to make others accept or understand
police,"the people or the department of people who enforce laws, investigate crimes, and make arrests"
policy,a course of action proposed by an organization
position,the place something is located in
possible,to be able to be done
pound, a unit of weight that is equal to 16 ounces or 0.4536 kilograms 
power,"the ability, capacity or right to control things"
present,"existing or happening now, not in the past or future"
press,"newspapers, magazines, and TV news reports"
pretty,large or impressive
price,the amount of money that you pay for something or that something costs
probably,used to mean that something is very likely
problem,something that is difficult to deal with or needs to overcome
process,a series of actions that produce achievement
produce,to use machines to make something from raw materials
product,something that is made or grown to be sold or used
program,a plan of things that are done to achieve a result
project,a planned piece of work for specific purpose
provide,"to make available, to supply for use"
public,concerning or affecting all or most of the people in a group
pull,to hold onto and move (someone or something) in a particular direction and especially toward yourself
purpose,the reason for which something is done
push, to use force to move (someone or something) forward or away from you
put,to move or place in a particular position
quality,how good or bad something is 
question,to ask for or elicit information
quick,done or happening in a short amount of time
quite,"to a very large degree, very"
raise,to lift or move something to a higher position
rate,the measure of speed or frequency over a particular period of time 
rather,to a certain extent
read,to look at and comprehend the meaning of something written
ready,prepared to do something
real,"actually existing or happening, not imagined or supposed"
realize,to understand or become aware of something
really,very or very much
reason,a cause for an action or event
receive,to get or be presented with something
record,an official piece of evidence or document about past events
red,having the color of blood
relate,to show or make a connection between (two or more things) 
relationship,a connection between two or more people or things
remember,to bring a previous image or idea to your mind
report,a story given about a particular matter
require,"to need something, to make it necessary"
research,careful study to find and report new knowledge
response, an answer or reaction to something that has been said or done
rest,"not at work, to have time to relax, sleep or do nothing"
result,a thing that is caused by something else that happened
review,an act of carefully looking at or examining the quality or condition of something or someone
right,"to be true, correct or acceptable"
ring,a piece of jewelry that is worn usually on a finger 
road,a hard flat surface for people or vehicles can use
room,a space that can be occupied which has its own floor and ceiling
round,shaped like a circle or ball 
rule,something that is not allowed in some situations
run,to move with your legs at a speed that is faster than walking
sale,the act of selling something or exchanging for money
same,"identical, not different"
save,"to keep (someone or something) safe : to stop (someone or something) from dying or being hurt, damaged, or lost "
say,to use your voice to express something with words
school,a place where children go to learn
score,the number of points someone gets in a game or test
second,"a unit of time, one sixtieth of a minute"
see,to notice or become aware of with the eyes
seem,to appear to be something
sell,to exchange (something) for money
send,to cause to go to another destination
sense,one of our natural abilities for receiving information
service,the action of helping or doing work for someone
set,to put or stand something in a place or position
seven,the number 7
seventy,the number 70
several,more than two but not many
shall,"expressing the future tense, to expect to happen"
share,to have or use something with others
she,used to refer to a female that is the subject
shop,a building or room where goods and services are sold
short,a small distance from one end to the other 
should,used to indicate what is proper or reasonable
show,to cause or allow to be seen
side,a position or direction that is away from the center
sign,"something which shows that something else exists, is true, or will happen"
since,"because, for the reason that"
sing,to use your voice to make musical sounds in the form of a song or tune
single,"not having or including another, only one"
sister,a girl or woman who has one or both of the same parents as you
sit,to be in a resting position on a chair or couch
site,"the place where something is, was, or will be located"
situation,"a condition, location or position"
six,the number 6
sixty,the number 60
size,the total amount of physical space that a person or thing occupies
sleep,to rest your mind and body by closing your eyes and becoming unconscious 
small,"little in size, not great in amount"
so,to a  degree that is suggested or stated
some,used to refer to an unspecified amount or number
somebody,"person who is not known, named, or specified"
someone,some person;  somebody
something,"a thing that is not yet know, specified or named"
sometimes,"occasionally; only at certain times,"
somewhere,"in, at, or to a place not known, named, or specified "
soon,at a time not long from now
sorry,feeling sorrow or regret 
sort,a group of people or things that have some shared quality
sound,something that is heard
speak,to use words to tell information or express thoughts
special,"different from what is usual, better or greater than normal"
specific,"special or particular, clearly presented or stated"
spend,to use money to pay for something
staff,a group of people who work for an organization or business
stage,a particular point in a process
stand,to be in an upright position supported by on your feet
standard,a level of quality or achievement that is considered acceptable
start,to begin doing something
state,a way of living or existing
statement,something that someone says or writes officially
stay,to continue to be in the same place;  remain
step,moving by lifting  a foot and putting it down in a different place
stick,a cut or broken branch or twig 
still,used to express that an action or condition continues
stop,to not move or come to an end
story,a description of how something happened
straight,"not having curves, bends, or angles "
street,a public road in a city or town
strong,having physical power or strength
student,a person who attends a school
study,devoting time to learn about something
stuff,"materials, supplies, or equipment "
subject,the thing being discussed or described
such,like or similar
suggest,to mention something as a possible thing to be done
summer,the warmest season of the year that is after spring and before autumn
support,to give assistance to
suppose,to think of something as happening or being true in order to imagine what might happen
sure,"completely confident of being right, not having any doubt"
surprise,"an unexpected event, piece of information, etc."
system,a set of related parts that move or work together
table,a piece of furniture with a flat top and legs
take,"to carry or move with one's hands, to reach for"
talk,using words to express opinions or give information
tape,"a long, narrow piece of material used to stick things"
tax,money that a government requires people to pay
tea,a drink that is made by soaking the dried leaves of an Asian plant in hot water 
teach,to instruct or help to learn
teacher,"someone whose job is to teach in a school, college, etc."
team,"a group of people who compete in a sport, game"
tell,to say or communicate information to someone
ten,the number 10
tend,used to describe what often happens or what someone often does or is likely to do
term,a word or phrase that describes something else
test,a set of questions designed to measure a person's ability
text,the original words in main writing or speech
than,used to introduce a second part that is being compared
thank,to tell (someone) that you are grateful for something that he or she has done or given
that,"used to identify a specific person, thing, fact or idea"
the,used to point to something already mentioned
themselves,the reflexive form of the pronoun 'they'
then,"at that time, at the time mentioned, after that"
there,"in that place or position, at that location"
therefore,for that reason or because of that
they,"used to refer to two or more people, animals, or things"
thing,"an object, animal, or quality doesn't have a specific name"
think,to believe or have a particular idea
thirty,the number 30
this,"used to identify a specific person, thing, or idea that is close"
though,"although, despite the fact that"
thousand,the number 1000
three,the number 3
through,into one side and out of the other side
throw,to cause (something) to move out of your hand and through the air by quickly moving your arm forward
till,until
time,"something measured in minutes, hours, days, etc."
to,used to indicate place or direction
today,"this day, this present day, at the present time"
together,to be with each other or in one group
tomorrow,the day after today
tonight,this night or the night following this day 
too,"in addition, also"
top,"the highest part, point, or level of something"
totally,completely
toward,in the direction of
town,"a place people live, larger than a village, smaller than a city"
trade,"the activity of buying, selling, or exchanging"
train,a group of connected vehicles traveling on railways
travel,to go on a trip or journey : to go to a place and especially one that is far away 
trouble,problems or difficulties
true,"agreeing with the facts, not false, real or actual"
try,"to make an effort, to attempt to do something"
turn,to move around a central point
twelve,the number 12
twenty,the number 20
two,the number 2
type,a particular category of people or objects with a common characteristic
unclear,not easy to understand
under,to be below something
understand,"to know, to perceive or comprehend something"
unless,"used to say what will happen, be done, or be true if something else does not happen, is not done, or is not true"
until,"up to, to indicate the point in time when a particular situation"
up,to move towards a high place from a lower one
use,to do something with another thing
usually,in the way that most often happens
value,the amount of money something is worth
various,used to refer to several different or many different things
very,to a high degree
view,an opinion or way of thinking
visit,to go somewhere to spend time with
vote,to make an official choice for or against someone or something
wait,to stay or remain until an expected event happens
walk,"to move with your legs, to go on foot"
want,to desire or wish for
war,"a period of fighting or conflict between countries, "
watch,to pay attention to what is happening
water,"the clear liquid which forms the seas, rivers and rain"
way,a manner or characteristic of something
we,used to refer to the speaker and another person as the subject
wear,to use or have as clothing over part of your body
week,"a period of seven days,  starts on Sunday and end on Saturday"
weekend, Saturday and Sunday
well,"in a successful way, in a good or satisfactory way"
what,asking for information about someone or something
whatever,anything or everything that or no matter what
when,"at what time, at, in, during which, how soon"
where,to be in at or in what place?
whether,expressing a doubt between alternatives
which,"what one or ones of a group, one or more people or things"
while,"during the time that, at the same time"
white,"having the color of snow, to be light or pale in color"
who,"what or which person or people, to ask about, talking about"
whole,"complete or full, all of something"
why,for what reason or purpose
wife,a married woman
will,"expressing the future, to say something is expected to happen"
win,to achieve victory in a fight or game
window,an opening in a wall or door that usually contains a sheet of glass
wish,to want something to be true or to happen
with,used to express that people or things are together
within,inside something
without,"not having or including something, in the absence of"
woman,an adult female human being
wonder,something that is very surprising or amazing
wonderful,very good
word,a unit of language that has a meaning
work,to have a job or activity involving mental or physical effort
world,the earth and all people and things on it
worry,to think about problems or fears
worth,used to indicate the value of something
would,indicating someone thinking about what will happen
write,to compose letters and words on a surface
wrong, not agreeing with the facts or truth : incorrect 
yeah,yes
year,a unit of time equal to 12 months or 365 days
yes,"used to give a positive answer or reply to a question, request, or offer "
yesterday,the day before today
yet,"until now, up until the present"
you,used to refer to the person the speaker is addressing
young,in an early stage of life  or growth
yourself,the reflexive form of the pronoun 'you'
