Rank,Lemma,POS,Definition,
234,away,adverb,at a distance from a particular person or place,離れて・去って
235,example,noun,a thing which is seen as a model,例
236,happen,verb,to take place or occur,起こる
237,offer,verb,to give someone the opportunity to accept something,申し出る
238,young,adjective,in an early stage of life  or growth,若い
239,close,verb,to move so that things cannot path through,閉める
240,program,noun,a plan of things that are done to achieve a result,プログラム
241,lead,verb,"to guide someone to a place , to go with, be in charge",導く
242,buy,verb,to get something by paying money for it;  purchase,買う
243,understand,verb,"to know, to perceive or comprehend something",理解する
244,thank,verb,to tell (someone) that you are grateful for something that he or she has done or given,感謝する
245,far,adverb,to a great distance in space or time,遠い
246,today,noun,"this day, this present day, at the present time",今日
247,hour,noun,a period of time equal to 60 minutes,時間
248,student,noun,a person who attends a school,生徒
249,face,noun,"the front part of a person's head, the surface of a thing",顔
250,hope,noun,"a feeling of expectation, to want something to happen",望む
251,idea,noun,"a thought, suggestion, opinion or plan",アイデア
252,cost,noun,the price of something,費用
253,less,adverb,"not so much, a smaller amount of",より少ない
254,room,noun,a space that can be occupied which has its own floor and ceiling,部屋
255,until,conjunction,"up to, to indicate the point in time when a particular situation",まで
256,reason,noun,a cause for an action or event,理由
257,form,noun,"a type or kind of something, the visible shape, style",形
258,spend,verb,to use money to pay for something,費やす
259,head,noun,the upper part of the body,頭
260,car,noun,a vehicle with four wheels and engine that can carry things,車
261,learn,verb,to acquire knowledge by study or experience,学ぶ
262,level,noun,a specific height or line,高さ
263,person,noun,a human being,人
264,experience,noun,the act of having things happen to you,経験
265,once,adverb,one time only,一度
266,member,noun,a person or country belonging to a group or team,メンバー
267,enough,adverb,"equal to what is needed, as much as required",十分
268,bad,adjective,"low or poor in quality, not correct or proper",悪い
269,city,noun,many people living in a place larger than a town,都市
270,night,noun,the period of time of darkness between sunset and sunrise,夜
271,able,adjective,"having the power, skill, money, or means to do something",できる
272,support,verb,to give assistance to,支える
273,whether,conjunction,expressing a doubt between alternatives,～かどうか
274,line,noun,a long narrow mark or band on a surface ,線
275,present,adjective,"existing or happening now, not in the past or future",現在
276,side,noun,a position or direction that is away from the center,端
277,quite,adverb,"to a very large degree, very",かなり
278,although,conjunction,"despite the fact that, however, ",だけれども
279,sure,adjective,"completely confident of being right, not having any doubt",確信
280,term,noun,a word or phrase that describes something else,用語
281,least,determiner,"smallest in amount, extent or degree",最小
282,age,noun,the amount of time a person has lived,年齢
283,low,adjective,not rising or extending upward,低い
284,speak,verb,to use words to tell information or express thoughts,話す
285,within,preposition,inside something,以内に
286,process,noun,a series of actions that produce achievement,過程
287,public,adjective,concerning or affecting all or most of the people in a group,公共
288,often,adverb,"many times, frequently, on many occasions",しばしば
289,train,noun,a group of connected vehicles traveling on railways,電車
290,possible,adjective,to be able to be done,可能性
291,actually,adverb,used when you are saying what is the truth of a situation,実際
292,rather,adverb,to a certain extent,やや、割に
293,view,noun,an opinion or way of thinking,見解
294,together,adverb,to be with each other or in one group,一緒に
295,consider,verb,to think about carefully,よく考える
296,price,noun,the amount of money that you pay for something or that something costs,価格
297,parent,noun,a person who is a father or mother,親
298,hard,adjective,something that is firm or difficult to bend,固い
299,party,noun,an organization of people who have the same political beliefs ,政党
300,local,adjective,"relating or restricted to a particular area, city, or town",地方の
301,control,verb,to direct or influence the behavior of something or someone,操作する
302,already,adverb,before this time,すでに
303,concern,noun,a feeling of worry or anxiety,心配する
304,product,noun,something that is made or grown to be sold or used,製品、生産物
305,lose,verb,to be unable to find something you once had,失う
306,story,noun,a description of how something happened,物語
307,almost,adverb,"only a little less than, nearly, not quite",ほとんど
308,continue,verb,to do something without stopping,続ける
309,stand,verb,to be in an upright position supported by on your feet,立つ
310,whole,adjective,"complete or full, all of something",全体
311,yet,adverb,"until now, up until the present",まだ
312,rate,noun,the measure of speed or frequency over a particular period of time ,速度、率
313,care,noun,effort made to do something correctly or well,注意
314,expect,verb,to be regarded as likely to happen,期待する
315,effect,noun,a change or results of something being done,効果
316,sort,noun,a group of people or things that have some shared quality,一部
317,ever,adverb,"at any time, at all times",今までに
318,anything,pronoun,"a thing of any kind, used to refer to a thing, no matter what",何でも
319,cause,noun,something that produces an effect,要因
320,fall,verb,to come or go down from a higher to a lower place,落ちる
321,deal,verb,to trade or do business with someone,取引
322,water,noun,"the clear liquid which forms the seas, rivers and rain",水
323,send,verb,to cause to go to another destination,送る
324,allow,verb,to permit or treat as acceptable,許可する
325,soon,adverb,at a time not long from now,すぐに
326,watch,verb,to pay attention to what is happening,見る
327,base,noun,the bottom or lowest part of something : the part on which something rests or is supported ,土台
328,probably,adverb,used to mean that something is very likely,おそらく
329,suggest,verb,to mention something as a possible thing to be done,提案する
330,past,preposition,a time before the present,過去
331,power,noun,"the ability, capacity or right to control things",力
332,test,noun,a set of questions designed to measure a person's ability,テスト
333,visit,verb,to go somewhere to spend time with,訪問する
334,center,noun,the middle point or part,中央
335,grow,verb,to become larger,育つ
336,nothing,pronoun,"not anything, no a single thing",無
337,return,verb,to come back to a place again,戻る
338,mother,noun,a female who has a child or children,母
339,walk,verb,"to move with your legs, to go on foot",歩く
340,matter,noun,the physical substance things are made of,物質
341,mind,noun,"the part of person that enables us to think, feel, and reason",心
342,value,noun,the amount of money something is worth,価値
343,office,noun,a building of set of rooms used to do business or professional activities,事務所
344,record,noun,an official piece of evidence or document about past events,記録
345,stay,verb,to continue to be in the same place;  remain,とどまる
346,force,verb,"to use physical strength, power, or energy used on something",強いる
347,stop,verb,to not move or come to an end,止まる
348,several,adjective,more than two but not many,数個の
349,light,noun,the form of energy that makes things visible,光、明かり
350,develop,verb,to cause to grow or bigger or more advanced,発展させる
351,remember,verb,to bring a previous image or idea to your mind,思い出す
352,bit,noun,a small piece of something,少し
353,share,verb,to have or use something with others,共有する
354,real,adjective,"actually existing or happening, not imagined or supposed",本当の
355,answer,noun,a reaction to a question someone asks,答え
356,sit,verb,to be in a resting position on a chair or couch,座る
357,figure,noun,a an amount that is expressed in numbers,図
358,letter,noun,"a written, typed or printed message",文字
359,decide,verb,to make a choice about something or choose after thinking,決める
360,language,noun,the system of words or signs that people use to express thoughts and feelings to each other ,言語
361,subject,noun,the thing being discussed or described,主題
362,class,noun,a group of students who often meet and are taught together,クラス
363,development,noun,when someone or something grows or changes and becomes more advanced,開発
364,town,noun,"a place people live, larger than a village, smaller than a city",町
365,half,determiner,one of two equal parts something can be divided into,半分
366,minute,noun,a period of time equal to 60 seconds,分
367,food,noun,the things that people and animals eat,食べ物
368,break,verb,to separate into pieces,壊す
369,clear,adjective,very obvious or easy to perceive,明らかに
370,future,noun,the period of time coming after the present,未来
371,either,adjective,one or the other of two,どちらか
372,ago,adverb,in the past,以前に
373,per,preposition,"for each one, by means of, as directed by or stated in",～につき
374,remain,verb,"to be left behind, to continue to exist",残る
375,top,noun,"the highest part, point, or level of something",最上部
376,among,preposition,"situated centrally, in relation to several things",～の間で
377,win,verb,to achieve victory in a fight or game,勝つ
378,color,noun,"a quality such as red, blue, green, etc.",色
379,involve,verb,to have or include in a part of something,巻き込む
380,reach,verb,to come to or arrive at a goal or destination,届く
381,social,adjective,involving activities among people,社会の
382,period,noun,a length or portion of time during a series of events,期間
383,across,preposition,from one side to the other of something,横切って
384,note,noun,"a brief, short record of something",メモ
385,history,noun,the study of past event,歴史
386,create,verb,"to make, cause, or bring into existence",作る
387,drive,verb,to control the movement of a car,運転する
388,along,preposition,at a point on something,沿って
389,type,noun,a particular category of people or objects with a common characteristic,型
390,sound,noun,something that is heard,音
391,eye,noun,the part of the body that you see with,目
392,music,noun,the art of making sounds that are sung or played,音楽
393,game,noun,one of the games that are part of a larger contest,ゲーム、競技
394,political,adjective,relating to government or public affairs,政治の
395,free,adjective,without control by others,自由
396,receive,verb,to get or be presented with something,受け取る
397,moment,noun,a very short or brief period of time,瞬間
398,sale,noun,the act of selling something or exchanging for money,販売
399,policy,noun,a course of action proposed by an organization,政策
400,further,adverb,at a more distant place than here,さらに
401,body,noun,a person's physical self,体
402,require,verb,"to need something, to make it necessary",必要とする
403,wait,verb,to stay or remain until an expected event happens,待つ
404,general,adjective,"widespread, normal or usual",一般的な
405,appear,verb,come into sight,現れる
406,toward,preposition,in the direction of,向かって
407,team,noun,"a group of people who compete in a sport, game",チーム
408,easy,adjective,"not hard to do, not difficult",簡単な
409,individual,adjective,existing as just one member,個人の
410,full,adjective,containing or holding as much as possible,いっぱい
411,black,adjective,having the very dark color of coal or the night sky,黒い
412,sense,noun,one of our natural abilities for receiving information,感覚
413,perhaps,adverb,"possibly but not certainly, maybe",ひょっとして
414,add,verb,to put something together with another thing,加える
415,rule,noun,something that is not allowed in some situations,規則
416,pass,verb,to move past something,通る
417,produce,verb,to use machines to make something from raw materials,生産する
418,sell,verb,to exchange (something) for money,売る
419,short,adjective,a small distance from one end to the other ,短い
420,agree,verb,to  the same opinion about something,賛成する
421,law,noun,the system or rules made by the government,法律
422,everything,pronoun,every thing there is or all that exists,すべて
423,research,noun,careful study to find and report new knowledge,調査研究
424,cover,verb,put something over or on top of something else,覆う
425,paper,noun,the material that is used in the form of thin sheets for writing,紙
426,position,noun,the place something is located in,位置
427,near,preposition,close to something,近く
428,human,adjective,relating to or characteristic of people,人
429,computer,noun,an electronic machine that can store and process large amounts of information,コンピューター
430,situation,noun,"a condition, location or position",状況
431,staff,noun,a group of people who work for an organization or business,スタッフ
432,activity,noun,something which you do for enjoyment; action,活動
433,film,noun,movie or a special material that is used for taking photographs ,フィルム
434,morning,noun,the early part of the day,朝
435,war,noun,"a period of fighting or conflict between countries, ",戦争
436,account,noun,a story or report about something,報告
437,shop,noun,a building or room where goods and services are sold,店
438,major,adjective,"important, serious,  or large in number",主要な
439,someone,pronoun,some person;  somebody,だれか
440,above,preposition,in a higher place,～の上
441,design,verb,to make something for a specific use or purpose,設計する
442,event,noun,something especially something important or notable that happens,行事
443,special,adjective,"different from what is usual, better or greater than normal",特別
444,sometimes,adverb,"occasionally; only at certain times,",ときどき
445,condition,noun,a way or quality of living or existing,状況
446,carry,verb,to move something from one place to another,運ぶ
447,choose,verb,to decide that a particular person or thing is the one that you want,選ぶ
448,father,noun,a male parent,父親
449,decision,noun,a choice that you make about something after thinking about it,決断
450,table,noun,a piece of furniture with a flat top and legs,テーブル
451,certain,adjective,not having any doubt about something,確かな
452,forward,adverb,toward the front : to or toward what is ahead or in front ,前方の
453,main,adjective, most important,主要な
454,die,verb,to stop living or end life,死ぬ
455,bear,verb,to accept or endure difficulties,耐える、負う
456,cut,verb,to use a sharp tool or object to open or divide something,切る
457,describe,verb,"to tell someone the appearance, sound or smell of",言い表す
458,himself,pronoun,the reflexive form of the pronoun 'he',彼自身
459,available,adjective,when something is there to be used easily,利用できる
460,especially,adverb,"more than usually;  very, extremely",特に
461,strong,adjective,having physical power or strength,強い
462,rise,verb,to move from a lower position to a higher one,昇る
463,girl,noun,"a female child,  a young woman",少女
464,maybe,adverb,possibly but not certainly : perhaps,～かもしれない
465,community,noun,a group of people who share a common idea or area,社会
466,else,adjective,in a different or additional manner or place,他の
467,particular,adjective,used to single out an individual member,特定の
468,role,noun,the character played by an actor,役
469,join,verb,to put or bring (two or more things) together ,合わせる
470,difficult,adjective,not easy : requiring much work or skill to do or make ,難しい
471,please,adverb,used to ask for something in a polite way,どうか
472,detail,noun,a small part of something,詳細
473,difference,noun,a quality that is unlike something else,違い
474,action,noun,something that a person does,行動
475,health,noun,the condition of being well or free from disease,健康
476,eat,verb,to take food into your mouth and swallow it,食べる
477,step,verb,moving by lifting  a foot and putting it down in a different place,一歩歩む
478,true,adjective,"agreeing with the facts, not false, real or actual",本当の
479,phone,noun,a communication system that is used to talk to someone who is in another place,電話
480,themselves,pronoun,the reflexive form of the pronoun 'they',彼ら自身
481,draw,verb,to produce by making lines on a paper,描く
482,white,adjective,"having the color of snow, to be light or pale in color",白
483,date,noun,a particular day of a month or year ,日付
484,practice,noun,to do something again and again in order to become better at it,練習する
485,model,noun,a usually small copy of something ,模型
486,raise,verb,to lift or move something to a higher position,上げる
487,customer,noun,someone who buys goods or services from a business ,顧客
488,front,noun,the forward part of an object,前
489,explain,verb,to make clear or easy to understand by describing,説明する
490,door,noun,a movable entrance to a building or room,ドア
491,outside,noun,an area around or near something such as a building,外
492,behind,preposition,in or toward the back,後ろに
493,economic,adjective,"relating to trade, industry, and money",経済の
494,site,noun,"the place where something is, was, or will be located",現場
495,approach,noun,to get close to reaching something or somewhere,近づく
496,teacher,noun,"someone whose job is to teach in a school, college, etc.",教師
497,land,noun,the solid part of the surface of the Earth,陸
498,charge,verb,to ask for money as a price for a service or goods,請求する
499,finally,adverb,after a long time or some difficulty;  the last point or idea,最後に
500,sign,noun,"something which shows that something else exists, is true, or will happen",しるし
501,claim,noun,to say something is true when others may not agree,主張する
502,relationship,noun,a connection between two or more people or things,関係
503,travel,verb,to go on a trip or journey : to go to a place and especially one that is far away ,旅する
504,enjoy,verb,to take pleasure in (something) ,楽しむ
505,death,noun,"the end of life, the fact of dying, being killed",死
506,nice,adjective,giving pleasure or joy : good and enjoyable ,素晴らしい
507,amount,noun,a quantity of something,量
508,improve,verb,to make or to become something better,改善する
509,picture,noun,"a painting, drawing or photograph on paper or screen ",写真、絵
510,boy,noun,"a male child or youth, a young man",男の子
511,regard,verb,to care or think about something in a specific way,顧慮する
512,organization,noun,an official group of people who work together for the same purpose,組織
513,happy,adjective,feeling pleasure and enjoyment because of your life,幸福な
514,couple,noun,two people or things being together,一対
515,act,noun,take action,行動する
516,range,noun,the area of variation on a particular scale,範囲、幅
517,quality,noun,how good or bad something is ,質、品質
518,project,noun,a planned piece of work for specific purpose,企画
519,round,adjective,shaped like a circle or ball ,丸い
520,opportunity,noun,an amount of time or a situation in which something can be done,機会
521,road,noun,a hard flat surface for people or vehicles can use,道
522,accord,noun,a formal or official agreement,合意
523,list,noun,"a series of written names, words or numbers ",リスト
524,wish,verb,to want something to be true or to happen,願う
525,therefore,adverb,for that reason or because of that,従って、だから
526,wear,verb,to use or have as clothing over part of your body,着る
527,fund,noun,a sum of money that is used for a special purpose,資金
528,rest,noun,"not at work, to have time to relax, sleep or do nothing",休憩
529,kid,noun,a child or young person,子供
530,industry,noun,referring to the making of all products in a given field,産業
531,education,noun,the process of giving or receiving instruction,教育
532,measure,verb,"an amount or degree of something, ascertain in size or degree",測る
533,kill,verb,"to cause the death of a person, animal or plant",殺す
534,serve,verb,to give or provide something to another person,供給する、～を出す
535,likely,adjective,used to indicate the chance that something will happen,～しそうだ
536,certainly,adverb,used to emphasize something and show that there is no doubt about it; used to agree to a request,確実な
537,national,adjective,relating to the whole of a country,国の
538,itself,pronoun,the reflexive form of the pronoun 'it',それなり
539,teach,verb,to instruct or help to learn,教える
540,field,noun,"an open area of land, especially without trees or buildings",野原
541,security,noun,the things that are done to keep someone or something safe,警備
542,air,noun,the invisible mixture of gases that we breathe,空気
543,benefit,noun,"a good result or effect, something helpful",利益、恩恵
544,trade,noun,"the activity of buying, selling, or exchanging",交換する
545,risk,noun,the possibility that something bad or unpleasant (such as an injury or a loss) will happen ,リスク
546,news,noun, new information or a report about something that has happened recently,ニュース
547,standard,adjective,a level of quality or achievement that is considered acceptable,基準
548,vote,verb,to make an official choice for or against someone or something,投票する
549,percent,noun,a certain part of a whole ,㌫
550,focus,noun,the main purpose or center of interest or activity,焦点
551,stage,noun,a particular point in a process,段階
552,space,noun,"the amount of an area, room, or surface",場所
553,instead,adverb,used to say that one thing is done or is chosen when another is not chosen,代わり
554,realize,verb,to understand or become aware of something,気づく
555,usually,adverb,in the way that most often happens,たいてい
556,data,noun,facts or information used usually to calculate or analyze,データ
557,single,adjective,"not having or including another, only one",単独
558,address,noun,"the words and numbers that are used to describe the location of a building and that are written on letters, envelopes, and packages so that they can be mailed to that location ",住所
559,performance,noun, an activity (such as singing a song or acting in a play) that a person or group does to entertain an audience ,演技
560,chance,noun,an opportunity to do something;  an amount of time or a situation in which something can be done,機会
561,accept,verb,to receive or take something that is offered,引き受ける
562,society,noun,a community of people living together,社会
563,technology,noun,"the use, knowledge of science in industry, engineering",科学技術、テクノロジー
564,mention,verb,"to talk about, write about, or refer to (something or someone) especially in a brief way ",言及する
565,choice,noun, the act of choosing : the act of picking or deciding between two or more possibilities ,選択
566,save,verb,"to keep (someone or something) safe : to stop (someone or something) from dying or being hurt, damaged, or lost ",救う
567,common,adjective,something that is found or done often,一般的な
568,culture,noun,the beliefs and customs of a particular group,文化
569,total,adjective,the whole number or amount of something,合計
570,demand,noun,forcefully saying that something must be done or given to you,需要
571,material,noun,a substance from which a thing is made of,材料
572,limit,noun,a point beyond which it is not possible to pass,限度
573,listen,verb,"to pay attention to someone or something in order to hear what is being said, sung, played, etc. ",聞く
574,due,adjective,required or expected to happen : expected to be in a particular place at a particular time ,期限
575,wrong,adjective, not agreeing with the facts or truth : incorrect ,悪い、間違いの
